肖申克的救赎,1994,2817995人评价
霸王别姬,1993,2084185人评价
阿甘正传,1994,2110166人评价
泰坦尼克号,1997,2074003人评价
这个杀手不太冷,1994,2244786人评价
美丽人生,1997,1296732人评价
千与千寻,2001,2186375人评价
辛德勒的名单,1993,1080300人评价
盗梦空间,2010,2015907人评价
星际穿越,2014,1779074人评价
楚门的世界,1998,1651041人评价
忠犬八公的故事,2009,1368667人评价
海上钢琴师,1998,1641629人评价
三傻大闹宝莱坞,2009,1819752人评价
放牛班的春天,2004,1282841人评价
机器人总动员,2008,1287847人评价
无间道,2002,1326781人评价
疯狂动物城,2016,1877819人评价
控方证人,1957,532571人评价
大话西游之大圣娶亲,1995,1498704人评价
熔炉,2011,911957人评价
教父,1972,941559人评价
当幸福来敲门,2006,1486760人评价
触不可及,2011,1081775人评价
怦然心动,2010,1791354人评价
龙猫,1988,1235479人评价
末代皇帝,1987,852863人评价
寻梦环游记,2017,1627345人评价
活着,1994,821226人评价
蝙蝠侠：黑暗骑士,2008,1031484人评价
哈利·波特与魔法石,2001,1153244人评价
指环王3：王者无敌,2003,783561人评价
乱世佳人,1939,674062人评价
我不是药神,2018,2050625人评价
素媛,2013,669961人评价
飞屋环游记,2009,1293766人评价
何以为家,2018,1020211人评价
十二怒汉,1957,475566人评价
摔跤吧！爸爸,2016,1535961人评价
哈尔的移动城堡,2004,994120人评价
鬼子来了,2000,611151人评价
少年派的奇幻漂流,2012,1323266人评价
让子弹飞,2010,1657899人评价
猫鼠游戏,2002,990453人评价
海蒂和爷爷,2015,582902人评价
钢琴家,2002,616715人评价
大话西游之月光宝盒,1995,1193803人评价
天空之城,1986,800398人评价
指环王2：双塔奇兵,2002,733850人评价
闻香识女人,1992,858045人评价
天堂电影院,1988,666605人评价
罗马假日,1953,929558人评价
死亡诗社,1989,701632人评价
绿皮书,2018,1603553人评价
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),424096人评价
指环王1：护戒使者,2001,826017人评价
黑客帝国,1999,818565人评价
教父2,1974,536843人评价
狮子王,1994,816775人评价
